Voucher #,Date,Contact ID,Vendor,Terms,Due Date,Responsible,Ref #,P.O. #,Receipt,Other 1,Line,Item ID,Description,Quantity,U/M,Price,Tax,Amount,Taxes,Total,Currency,Exchange rate,Total base,Account,Group,Tag,Memo,Inventory Location,Comments,Attachments,Approvers,Status,Approval Status,Transfer Status,Created by,Date created,Last Modified by,Date Last Modified
231312,8/20/2022,Citistaff Solutions Inc.- Corporate (Fullerton),Citistaff Solutions Inc.- Corporate,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,3,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,10932.6,Yes,10932.6,0,10932.6,None,1,10932.6,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,523.63,,,Citi Staff Inv# 231312 Fullerton.xls (https://secure.spendwise.com/attachments/wecNFdcVgGlAzCtSKzQssgRpUh); Citi Staff back up Fullerton.pdf (https://secure.spendwise.com/attachments/VlhmXHjuAhndjMBgvdYDBQLebM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
231312,8/20/2022,Citistaff Solutions Inc.- Corporate (Fullerton),Citistaff Solutions Inc.- Corporate,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,4,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,713.31,Yes,713.31,0,713.31,None,1,713.31,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,20.36,,,Citi Staff Inv# 231312 Fullerton.xls (https://secure.spendwise.com/attachments/wecNFdcVgGlAzCtSKzQssgRpUh); Citi Staff back up Fullerton.pdf (https://secure.spendwise.com/attachments/VlhmXHjuAhndjMBgvdYDBQLebM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
231312,8/20/2022,Citistaff Solutions Inc.- Corporate (Fullerton),Citistaff Solutions Inc.- Corporate,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,5,Temp Labor - H/I,Temp Labor - H/I,1,Temp Labor,60.75,Yes,60.75,0,60.75,None,1,60.75,56150 - Temp Labor - H/I,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,5,,,Citi Staff Inv# 231312 Fullerton.xls (https://secure.spendwise.com/attachments/wecNFdcVgGlAzCtSKzQssgRpUh); Citi Staff back up Fullerton.pdf (https://secure.spendwise.com/attachments/VlhmXHjuAhndjMBgvdYDBQLebM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
231312,8/20/2022,Citistaff Solutions Inc.- Corporate (Fullerton),Citistaff Solutions Inc.- Corporate,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,6,Temp Labor - H/I,Temp Labor - H/I,1,Temp Labor,182.25,Yes,182.25,0,182.25,None,1,182.25,56150 - Temp Labor - H/I,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,15,,,Citi Staff Inv# 231312 Fullerton.xls (https://secure.spendwise.com/attachments/wecNFdcVgGlAzCtSKzQssgRpUh); Citi Staff back up Fullerton.pdf (https://secure.spendwise.com/attachments/VlhmXHjuAhndjMBgvdYDBQLebM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148192,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,5438.27,Yes,5438.27,0,5438.27,None,1,5438.27,56110 - Temp Labor - Reg,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,242.97,,,Kamran - Invoice # 148192 - Dept111.xlsx (https://secure.spendwise.com/attachments/DbrVnxXEXZOQUsfMwAYGPKrnIe); Kamran - Invoice # 148192 - Dept111.pdf (https://secure.spendwise.com/attachments/JEzaIXlrPAbZGrHefPwsmrztjt),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148192,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,169.85,Yes,169.85,0,169.85,None,1,169.85,56120 - Temp Labor - O/T D/T,111 - 2nd Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,5,,,Kamran - Invoice # 148192 - Dept111.xlsx (https://secure.spendwise.com/attachments/DbrVnxXEXZOQUsfMwAYGPKrnIe); Kamran - Invoice # 148192 - Dept111.pdf (https://secure.spendwise.com/attachments/JEzaIXlrPAbZGrHefPwsmrztjt),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148193,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,11937-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,813.96,Yes,813.96,0,813.96,None,1,813.96,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,11937 - Westset - 11937 Woodruff Ave. - Downey,36,,,Kamran Inv# 148193 - Downey.xlsx (https://secure.spendwise.com/attachments/noRYQFkAydqAntffTHtExpcRJn); Kamran Inv# 148193 - Downey.pdf (https://secure.spendwise.com/attachments/rLAvVfHFAuWFltLFJbkKesKKIO),Henry Valdez (09/15/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,9/15/2022
148065,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,1939.21,Yes,1939.21,0,1939.21,None,1,1939.21,56110 - Temp Labor - Reg,211 - 2nd Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,79.88,,,Kamran Inv#- 148065 Rancho.xlsx (https://secure.spendwise.com/attachments/SkCzMeEtCDLhYnuOUAKDydMxWA); Kamran Inv#- 148065 Rancho.pdf (https://secure.spendwise.com/attachments/DZUogXSQLOfuyCmzGEOMelaovW),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148065,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Labor - Hours,184.36,Yes,184.36,0,184.36,None,1,184.36,56120 - Temp Labor - O/T D/T,211 - 2nd Shift - Transportation Loading - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,4.92,,,Kamran Inv#- 148065 Rancho.xlsx (https://secure.spendwise.com/attachments/SkCzMeEtCDLhYnuOUAKDydMxWA); Kamran Inv#- 148065 Rancho.pdf (https://secure.spendwise.com/attachments/DZUogXSQLOfuyCmzGEOMelaovW),Carlos Garcia (08/31/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148072,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,16107-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,8879.61,Yes,8879.61,0,8879.61,None,1,8879.61,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,16107 - Location - 16107 Commerce Way - Cerritos,435.75,,,Kamran Inv#148072 - Cerritos.xlsx (https://secure.spendwise.com/attachments/MZnOcZVlUIsrgIKdgnHUuXwZsf); Kamran Inv#148072 - Cerritos.pdf (https://secure.spendwise.com/attachments/WoQNBCUUyBiBRAqAFthXRwBLqk),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148072,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,16107-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,1766.01,Yes,1766.01,0,1766.01,None,1,1766.01,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,16107 - Location - 16107 Commerce Way - Cerritos,57.95,,,Kamran Inv#148072 - Cerritos.xlsx (https://secure.spendwise.com/attachments/MZnOcZVlUIsrgIKdgnHUuXwZsf); Kamran Inv#148072 - Cerritos.pdf (https://secure.spendwise.com/attachments/WoQNBCUUyBiBRAqAFthXRwBLqk),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148191,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,8029.16,Yes,8029.16,0,8029.16,None,1,8029.16,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,348.75,,,Kamran - Invoice # 148191 - Dept 105.xlsx (https://secure.spendwise.com/attachments/oUVvnibuVGfgJtfxCPCoxWUXXY); Kamran - Invoice # 148191 - Dept 105.pdf (https://secure.spendwise.com/attachments/FLpPSiihneAOQFpSdYJvntBSdH),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
148191,8/20/2022,Kamran Staffing,Kamran Staffing,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,1058.6,Yes,1058.6,0,1058.6,None,1,1058.6,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,29.5,,,Kamran - Invoice # 148191 - Dept 105.xlsx (https://secure.spendwise.com/attachments/oUVvnibuVGfgJtfxCPCoxWUXXY); Kamran - Invoice # 148191 - Dept 105.pdf (https://secure.spendwise.com/attachments/FLpPSiihneAOQFpSdYJvntBSdH),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,8/31/2022
4597,8/20/2022,LOBOS STAFFING INC.,LOBOS STAFFING INC.,Net 30,9/19/2022,Accounts Payable Accounts Payable,11937-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,884,Yes,884,0,884,None,1,884,56110 - Temp Labor - Reg,109 - Trans Cust Service,11937-2 - Total - 11937 Woodruff - Downey,40,,,Lobos Staffing Inv# 4597.pdf (https://secure.spendwise.com/attachments/qlXhvUUfEGHzEEODkCNyLqWteQ); Lobos Staffing Back up #4597.pdf (https://secure.spendwise.com/attachments/RDddaxtQDUwktOwBSMQtvfvlav),David Revolorio (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Accounts Payable Accounts Payable,9/1/2022
52209-TTD,8/20/2022,Workline,Workline,Net 30,9/19/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,997.68,Yes,997.68,0,997.68,None,1,997.68,56110 - Temp Labor - Reg,209 - Transportation Customer Service - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,39.78,,,WorkLine - Invoice # 52209-TTD - 08-20-22.pdf (https://secure.spendwise.com/attachments/cYEpsxXLQEbzvnUgZhCyvBaiUj),Derek Franco (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/1/2022
52209-TTD,8/20/2022,Workline,Workline,Net 30,9/19/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,25.2,Yes,25.2,0,25.2,None,1,25.2,56120 - Temp Labor - O/T D/T,209 - Transportation Customer Service - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,,,,WorkLine - Invoice # 52209-TTD - 08-20-22.pdf (https://secure.spendwise.com/attachments/cYEpsxXLQEbzvnUgZhCyvBaiUj),Derek Franco (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/1/2022
52206-TTD,8/20/2022,Workline,Workline,Net 30,9/19/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,1108.8,Yes,1108.8,0,1108.8,None,1,1108.8,56110 - Temp Labor - Reg,206 - Dispatch - Rancho,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,40,,,WorkLine - Invoice # 52206-TTD - 08-20-22.pdf (https://secure.spendwise.com/attachments/lEDghkRpyRRvxpCdszcgMlPyun),Derek Franco (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/1/2022
52109-TTD,8/20/2022,Workline,Workline,Net 30,9/19/2022,Accounts Payable Accounts Payable,11937-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,897.6,Yes,897.6,0,897.6,None,1,897.6,56110 - Temp Labor - Reg,109 - Trans Cust Service,11937-2 - Total - 11937 Woodruff - Downey,40,,,WorkLine - Invoice # 52109-TTD - 08-20-22.pdf (https://secure.spendwise.com/attachments/PUncQfmLOvYusxSusmVSNiHTCv),David Revolorio (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,8/30/2022
500055730,8/20/2022,NEXEM PARTNERS,NEXEM PARTNERS AND SEACOAST BUSINESS,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,7583.19,Yes,7583.19,0,7583.19,None,1,7583.19,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,337.09,,,Nexem - Invoice # 500055730 - 08-20-22.pdf (https://secure.spendwise.com/attachments/LXbABwPjUzKkQgCXvCrzhOGOOj); Nexem - Invoice # 500055730 - 08-20-22 -  Back up.pdf (https://secure.spendwise.com/attachments/UhELooBrpwtALLueSXoeDzPmWM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,8/30/2022
500055730,8/20/2022,NEXEM PARTNERS,NEXEM PARTNERS AND SEACOAST BUSINESS,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,210.1,Yes,210.1,0,210.1,None,1,210.1,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,6.07,,,Nexem - Invoice # 500055730 - 08-20-22.pdf (https://secure.spendwise.com/attachments/LXbABwPjUzKkQgCXvCrzhOGOOj); Nexem - Invoice # 500055730 - 08-20-22 -  Back up.pdf (https://secure.spendwise.com/attachments/UhELooBrpwtALLueSXoeDzPmWM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,8/30/2022
CA-66101,8/20/2022,Contracted Driver Services Of California ,Contracted Driver Services Of California ,,8/20/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,1871.63,Yes,1871.63,0,1871.63,None,1,1871.63,56110 - Temp Labor - Reg,213 - Drivers,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,39.32,,,Contracted Drivers - Invoice # CA66101 - 08-20-22.pdf (https://secure.spendwise.com/attachments/spEAetFMZWKSgqHsHdxZfArJxE); Contracted Drivers - Invoice # CA66101 - 08-20-22 - Backup.pdf (https://secure.spendwise.com/attachments/isrGYdgShtcwqiQDytVmbbxUIJ),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/16/2022
CA-66101,8/20/2022,Contracted Driver Services Of California ,Contracted Driver Services Of California ,,8/20/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,600.47,Yes,600.47,0,600.47,None,1,600.47,56120 - Temp Labor - O/T D/T,213 - Drivers,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,8.41,,,Contracted Drivers - Invoice # CA66101 - 08-20-22.pdf (https://secure.spendwise.com/attachments/spEAetFMZWKSgqHsHdxZfArJxE); Contracted Drivers - Invoice # CA66101 - 08-20-22 - Backup.pdf (https://secure.spendwise.com/attachments/isrGYdgShtcwqiQDytVmbbxUIJ),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/16/2022
CA-66101,8/20/2022,Contracted Driver Services Of California ,Contracted Driver Services Of California ,,8/20/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,3,Temp Labor - H/I,Temp Labor - H/I,1,Temp Labor,74.16,Yes,74.16,0,74.16,None,1,74.16,56150 - Temp Labor - H/I,213 - Drivers,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,,,,Contracted Drivers - Invoice # CA66101 - 08-20-22.pdf (https://secure.spendwise.com/attachments/spEAetFMZWKSgqHsHdxZfArJxE); Contracted Drivers - Invoice # CA66101 - 08-20-22 - Backup.pdf (https://secure.spendwise.com/attachments/isrGYdgShtcwqiQDytVmbbxUIJ),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/16/2022
CA-66101,8/20/2022,Contracted Driver Services Of California ,Contracted Driver Services Of California ,,8/20/2022,Accounts Payable Accounts Payable,9278-WE-08-20-22,,,,4,Temp Labor - H/I,Temp Labor - H/I,1,Fees,17.85,Yes,17.85,0,17.85,None,1,17.85,56150 - Temp Labor - H/I,213 - Drivers,9278-2 - Location-9278 Charles Smith Ave.-Rancho Cucamonga,,,,Contracted Drivers - Invoice # CA66101 - 08-20-22.pdf (https://secure.spendwise.com/attachments/spEAetFMZWKSgqHsHdxZfArJxE); Contracted Drivers - Invoice # CA66101 - 08-20-22 - Backup.pdf (https://secure.spendwise.com/attachments/isrGYdgShtcwqiQDytVmbbxUIJ),Derek Franco (09/16/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,9/16/2022
77305,8/20/2022,Fairway Staffing,Fairway Staffiing,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,924,Yes,924,0,924,None,1,924,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,40,,,Fairway - Invoice # 77305 - 08-20-22.pdf (https://secure.spendwise.com/attachments/uWlutLUCdIDjVAGLjtvNcqCUnM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,8/30/2022
77305,8/20/2022,Fairway Staffing,Fairway Staffiing,Net 30,9/19/2022,Accounts Payable Accounts Payable,210-WE-08-20-22,,,,2,Temp Labor - O/T,Temp Labor - O/T,1,Temp Labor,32.84,Yes,32.84,0,32.84,None,1,32.84,56120 - Temp Labor - O/T D/T,105 - 1st Shift - Warehouse - Westset,210 - Location - 210 E. Lambert Road,0.97,,,Fairway - Invoice # 77305 - 08-20-22.pdf (https://secure.spendwise.com/attachments/uWlutLUCdIDjVAGLjtvNcqCUnM),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,8/30/2022,Accounts Payable Accounts Payable,8/30/2022
U026428,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5317-RO-116305,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Labor - Hours,210,No,210,,210,None,1,210,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5317 - Trailer 5317,,," Replace the damaged L.side mudflap bracket, Install the missing mud flap ",United Lift - Invoice # U026428 - 08-19-22.pdf (https://secure.spendwise.com/attachments/RCcGjRPrGRwSsNuolQlsiRuBFd),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026428,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5317-RO-116305,,,,2,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,105,Yes,105,8.1375,113.1375,None,1,113.1375,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5317 - Trailer 5317,,," Replace the damaged L.side mudflap bracket, Install the missing mud flap ",United Lift - Invoice # U026428 - 08-19-22.pdf (https://secure.spendwise.com/attachments/RCcGjRPrGRwSsNuolQlsiRuBFd),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026428,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5317-RO-116305,,,,3,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,15,Yes,15,1.1625,16.1625,None,1,16.1625,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5317 - Trailer 5317,,," Replace the damaged L.side mudflap bracket, Install the missing mud flap ",United Lift - Invoice # U026428 - 08-19-22.pdf (https://secure.spendwise.com/attachments/RCcGjRPrGRwSsNuolQlsiRuBFd),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026427,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5371-RO-116304,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Labor - Hours,490,No,490,,490,None,1,490,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5371 - Trailer - 5371,,,"Replace the bad landing gear on both sides, Replace the bad landing gear bar and handle, Replace the bad landing gear bracket",United Lift - Invoice # U026427 - 08-19-22.pdf (https://secure.spendwise.com/attachments/XaCrbRPqWXyevwpvfnZsGbKgHF),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026427,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5371-RO-116304,,,,2,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,1275,Yes,1275,98.8125,1373.8125,None,1,1373.8125,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5371 - Trailer - 5371,,,"Replace the bad landing gear on both sides, Replace the bad landing gear bar and handle, Replace the bad landing gear bracket",United Lift - Invoice # U026427 - 08-19-22.pdf (https://secure.spendwise.com/attachments/XaCrbRPqWXyevwpvfnZsGbKgHF),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026427,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5371-RO-116304,,,,3,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,65,Yes,65,5.0375,70.0375,None,1,70.0375,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5371 - Trailer - 5371,,,"Replace the bad landing gear on both sides, Replace the bad landing gear bar and handle, Replace the bad landing gear bracket",United Lift - Invoice # U026427 - 08-19-22.pdf (https://secure.spendwise.com/attachments/XaCrbRPqWXyevwpvfnZsGbKgHF),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026427,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5371-RO-116304,,,,4,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,120,Yes,120,9.3,129.3,None,1,129.3,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5371 - Trailer - 5371,,,"Replace the bad landing gear on both sides, Replace the bad landing gear bar and handle, Replace the bad landing gear bracket",United Lift - Invoice # U026427 - 08-19-22.pdf (https://secure.spendwise.com/attachments/XaCrbRPqWXyevwpvfnZsGbKgHF),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026427,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,5371-RO-116304,,,,5,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Parts,35,Yes,35,2.7125,37.7125,None,1,37.7125,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,5371 - Trailer - 5371,,,"Replace the bad landing gear on both sides, Replace the bad landing gear bar and handle, Replace the bad landing gear bracket",United Lift - Invoice # U026427 - 08-19-22.pdf (https://secure.spendwise.com/attachments/XaCrbRPqWXyevwpvfnZsGbKgHF),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
U026426,8/19/2022,United Lift Gate & Trailer Repair Corp.,United Lift Gate & Trailer Repair Corp.,Net 30,9/18/2022,Accounts Payable Accounts Payable,4839-RO-116296,,,,1,Vehicle Maintenance - Repair,Vehicle Maintenance - Repair,1,Labor - Hours,700,No,700,,700,None,1,700,57200 - Vehicle Maintenance-Repairs,200.1 - Transportation - 11310,4839 - Trailer 4839,,,"Replace two leaking air bags on the rear L.side and 
R.side Replace the damaged plastic scuff on both sides Replace the broken wood floor 3' Replace two broken side hinges on the roll up door and two rollers
",United Lift - Invoice # U026426 - 08-19-22.pdf (https://secure.spendwise.com/attachments/oSKTQGDGczTLcdRiflBAhoNbFs),Robert Ortega (09/01/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,8/31/2022,Robert Ortega,9/1/2022
